Study,Architecture,Model,Hardware,N,Method,M,T,Fidelity,E_inference_uJ,E_training_mJ,Speedup,n_params,Time_sec,Steps
Capacity_sweep,SCNN,CNN,GPU,5,M1,,8,0.878066,19.49022,,,426480,1.81,500
Capacity_sweep,SCNN,CNN,GPU,5,M1,,8,0.861175,39.274632,,,854688,1.51,500
Capacity_sweep,SCNN,CNN,GPU,5,M1,,8,0.858222,79.726032,,,1716288,1.85,500
Capacity_sweep,SCNN,CNN,GPU,5,M1,,8,0.851771,164.159136,,,3460224,2.37,500
Capacity_sweep,SCNN,CNN,GPU,5,M1,,8,0.854767,347.14656,,,7031040,3.49,500
Capacity_sweep,SCNN,CNN,GPU,5,M1,,8,0.846807,769.606272,,,14504448,5.04,500
Capacity_sweep,SCNN,CNN,GPU,5,M1,,8,0.862328,157.861248,,,3423232,2.51,500
Capacity_sweep,SCNN,CNN,GPU,5,M1,,8,0.855522,170.457024,,,3497216,3.59,500
Capacity_sweep,SCNN,CNN,GPU,5,M1,,8,0.855685,176.754912,,,3534208,4.41,500
Capacity_sweep,SCNN,SCNN-Crossbar-4b,Crossbar-4b,5,M1,,8,0.821658,0.01163,,,428896,13.23,500
Capacity_sweep,SCNN,SCNN-Crossbar-4b,Crossbar-4b,5,M1,,8,0.803711,0.02326,,,857472,18.07,500
Capacity_sweep,SCNN,SCNN-Crossbar-4b,Crossbar-4b,5,M1,,8,0.750845,0.046528,,,1719808,31.54,500
Capacity_sweep,SCNN,SCNN-Crossbar-4b,Crossbar-4b,5,M1,,8,0.754353,0.093096,,,3465216,59.64,500
Capacity_sweep,SCNN,SCNN-Crossbar-4b,Crossbar-4b,5,M1,,8,0.783609,0.186366,,,7038976,105.05,500
Capacity_sweep,SCNN,SCNN-Crossbar-4b,Crossbar-4b,5,M1,,8,0.752552,0.373437,,,14518272,191.51,500
Capacity_sweep,SCNN,SCNN-Crossbar-4b,Crossbar-4b,5,M1,,8,0.751196,0.046753,,,3428352,59.88,500
Capacity_sweep,SCNN,SCNN-Crossbar-4b,Crossbar-4b,5,M1,,8,0.747474,0.13944,,,3502080,69.88,500
Capacity_sweep,SCNN,SCNN-Crossbar-4b,Crossbar-4b,5,M1,,8,0.753225,0.185784,,,3538944,73.43,500
Capacity_sweep,SCNN,SCNN-Crossbar-8b,Crossbar-8b,5,M1,,8,0.827053,0.043502,,,428896,13.22,500
Capacity_sweep,SCNN,SCNN-Crossbar-8b,Crossbar-8b,5,M1,,8,0.817491,0.087004,,,857472,18.08,500
Capacity_sweep,SCNN,SCNN-Crossbar-8b,Crossbar-8b,5,M1,,8,0.80713,0.174016,,,1719808,31.08,500
Capacity_sweep,SCNN,SCNN-Crossbar-8b,Crossbar-8b,5,M1,,8,0.751907,0.348072,,,3465216,59.23,500
Capacity_sweep,SCNN,SCNN-Crossbar-8b,Crossbar-8b,5,M1,,8,0.745375,0.696318,,,7038976,104.13,500
Capacity_sweep,SCNN,SCNN-Crossbar-8b,Crossbar-8b,5,M1,,8,0.741969,1.393341,,,14518272,196.6,500
Capacity_sweep,SCNN,SCNN-Crossbar-8b,Crossbar-8b,5,M1,,8,0.749657,0.172705,,,3428352,60.71,500
Capacity_sweep,SCNN,SCNN-Crossbar-8b,Crossbar-8b,5,M1,,8,0.771706,0.52344,,,3502080,71.31,500
Capacity_sweep,SCNN,SCNN-Crossbar-8b,Crossbar-8b,5,M1,,8,0.756781,0.698808,,,3538944,75.08,500
Capacity_sweep,SCNN,SCNN-Norse,Loihi,5,M1,,8,0.763375,0.091074,,,428896,7.16,500
Capacity_sweep,SCNN,SCNN-Norse,Loihi,5,M1,,8,0.751794,0.118886,,,857472,8.49,500
Capacity_sweep,SCNN,SCNN-Norse,Loihi,5,M1,,8,0.752741,0.174845,,,1719808,11.95,500
Capacity_sweep,SCNN,SCNN-Norse,Loihi,5,M1,,8,0.755501,0.288106,,,3465216,19.1,500
Capacity_sweep,SCNN,SCNN-Norse,Loihi,5,M1,,8,0.764379,0.520003,,,7038976,31.46,500
Capacity_sweep,SCNN,SCNN-Norse,Loihi,5,M1,,8,0.775994,1.005296,,,14518272,57.15,500
Capacity_sweep,SCNN,SCNN-Norse,Loihi,5,M1,,8,0.764879,0.254096,,,3428352,21.76,500
Capacity_sweep,SCNN,SCNN-Norse,Loihi,5,M1,,8,0.743736,0.322116,,,3502080,31.22,500
Capacity_sweep,SCNN,SCNN-Norse,Loihi,5,M1,,8,0.760765,0.356125,,,3538944,32.31,500
Capacity_sweep,SCNN,CNN,GPU,5,M2,,8,0.692431,90.10992,,,529280,4.28,500
Capacity_sweep,SCNN,CNN,GPU,5,M2,,8,0.780527,180.514032,,,1060288,4.84,500
Capacity_sweep,SCNN,CNN,GPU,5,M2,,8,0.72035,362.204832,,,2127488,5.65,500
Capacity_sweep,SCNN,CNN,GPU,5,M2,,8,0.733926,729.116736,,,4282624,6.07,500
Capacity_sweep,SCNN,CNN,GPU,5,M2,,8,0.776553,1477.06176,,,8675840,8.26,500
Capacity_sweep,SCNN,CNN,GPU,5,M2,,8,0.753041,3029.436672,,,17794048,13.07,500
Capacity_sweep,SCNN,CNN,GPU,5,M2,,8,0.780421,722.818848,,,4245632,5.11,500
Capacity_sweep,SCNN,CNN,GPU,5,M2,,8,0.745642,735.414624,,,4319616,6.72,500
Capacity_sweep,SCNN,CNN,GPU,5,M2,,8,0.776552,741.712512,,,4356608,6.78,500
Capacity_sweep,SCNN,SCNN-Crossbar-4b,Crossbar-4b,5,M2,,8,0.828253,0.012294,,,531696,42.7,500
Capacity_sweep,SCNN,SCNN-Crossbar-4b,Crossbar-4b,5,M2,,8,0.824947,0.024587,,,1063072,66.42,500
Capacity_sweep,SCNN,SCNN-Crossbar-4b,Crossbar-4b,5,M2,,8,0.846764,0.049182,,,2131008,115.76,500
Capacity_sweep,SCNN,SCNN-Crossbar-4b,Crossbar-4b,5,M2,,8,0.813842,0.098406,,,4287616,195.88,500
Capacity_sweep,SCNN,SCNN-Crossbar-4b,Crossbar-4b,5,M2,,8,0.815283,0.196985,,,8683776,387.68,500
Capacity_sweep,SCNN,SCNN-Crossbar-4b,Crossbar-4b,5,M2,,8,0.80055,0.394675,,,17807872,770.67,500
Capacity_sweep,SCNN,SCNN-Crossbar-4b,Crossbar-4b,5,M2,,8,0.826947,0.052062,,,4250752,191.52,500
Capacity_sweep,SCNN,SCNN-Crossbar-4b,Crossbar-4b,5,M2,,8,0.79393,0.14475,,,4324480,203.62,500
Capacity_sweep,SCNN,SCNN-Crossbar-4b,Crossbar-4b,5,M2,,8,0.806498,0.191093,,,4361344,210.16,500
