experiment,model,hw,N,method,F_best,E_inference_uJ,E_training_mJ,n_params,time_sec,T,C0,C1,depth,capacity_label,capacity_axis
SCNN,CNN-Simple2D,GPU,3,M1,0.9995,13.206,290204.1,,,,,,,,
SCNN,CNN-Up2D-Paper,GPU,3,M1,0.999,9.9698,202911.7,,,,,,,,
SCNN,SCNN-Norse-Simple2D,Loihi,3,M1,1.0,0.1079,510058.0,,,,,,,,
SCNN,SCNN-Norse-Up2D,Loihi,3,M1,0.9942,0.1696,1194171.8,,,,,,,,
SCNN,SCNN-Crossbar-Simple2D-8b,Crossbar-8b,3,M1,1.0,0.3466,615599.1,,,,,,,,
SCNN,SCNN-Crossbar-Simple2D-4b,Crossbar-4b,3,M1,1.0,0.0917,610735.1,,,,,,,,
SCNN,CNN-Simple2D,GPU,4,M1,0.9992,19.2205,129624.0,,,,,,,,
SCNN,CNN-Up2D-Paper,GPU,4,M1,0.9981,10.166,180666.7,,,,,,,,
SCNN,SCNN-Norse-Simple2D,Loihi,4,M1,0.9878,0.1498,1478329.6,,,,,,,,
SCNN,SCNN-Norse-Up2D,Loihi,4,M1,0.9961,0.2636,1783328.6,,,,,,,,
SCNN,SCNN-Crossbar-Simple2D-8b,Crossbar-8b,4,M1,0.9737,0.3467,2743844.9,,,,,,,,
SCNN,SCNN-Crossbar-Simple2D-4b,Crossbar-4b,4,M1,0.9857,0.0917,1836295.4,,,,,,,,
SCNN,CNN-Simple2D,GPU,5,M1,0.9992,38.3103,429072.9,,,,,,,,
SCNN,CNN-Up2D-Paper,GPU,5,M1,0.9973,10.9505,171133.4,,,,,,,,
SCNN,SCNN-Norse-Simple2D,Loihi,5,M1,0.9762,0.2402,1493339.5,,,,,,,,
SCNN,SCNN-Norse-Up2D,Loihi,5,M1,0.9887,0.2001,1207542.0,,,,,,,,
SCNN,SCNN-Crossbar-Simple2D-8b,Crossbar-8b,5,M1,0.9872,0.3469,2783383.6,,,,,,,,
SCNN,SCNN-Crossbar-Simple2D-4b,Crossbar-4b,5,M1,0.9925,0.0919,1857005.9,,,,,,,,
SCNN,CNN-Simple2D,GPU,6,M1,0.9988,108.1319,384353.2,,,,,,,,
SCNN,CNN-Up2D-Paper,GPU,6,M1,0.9972,14.0885,154059.4,,,,,,,,
SCNN,SCNN-Norse-Simple2D,Loihi,6,M1,0.9971,1.001,2877254.8,,,,,,,,
SCNN,SCNN-Norse-Up2D,Loihi,6,M1,0.9964,0.595,2415980.4,,,,,,,,
SCNN,SCNN-Crossbar-Simple2D-8b,Crossbar-8b,6,M1,0.9987,0.6951,3589623.8,,,,,,,,
