architecture,N,n_seeds,train_time_sec_mean,train_time_sec_std,note
SCGAN,3,3,38.5991,1.1543,F not captured (FPGA RTL is deterministic; use F from pure/mixed SCNN-Crossbar-8b row at same N)
SCGAN,4,3,38.7008,0.5024,F not captured (FPGA RTL is deterministic; use F from pure/mixed SCNN-Crossbar-8b row at same N)
SCGAN,5,3,39.1147,1.4417,F not captured (FPGA RTL is deterministic; use F from pure/mixed SCNN-Crossbar-8b row at same N)
SCGAN,6,3,39.2665,1.3478,F not captured (FPGA RTL is deterministic; use F from pure/mixed SCNN-Crossbar-8b row at same N)
SCGAN,7,3,39.4225,1.3862,F not captured (FPGA RTL is deterministic; use F from pure/mixed SCNN-Crossbar-8b row at same N)
SCGAN,8,3,40.6604,1.2063,F not captured (FPGA RTL is deterministic; use F from pure/mixed SCNN-Crossbar-8b row at same N)
SCNN,3,3,23.1581,0.5717,F not captured (FPGA RTL is deterministic; use F from pure/mixed SCNN-Crossbar-8b row at same N)
SCNN,4,3,23.306,0.5762,F not captured (FPGA RTL is deterministic; use F from pure/mixed SCNN-Crossbar-8b row at same N)
SCNN,5,3,23.2767,0.4721,F not captured (FPGA RTL is deterministic; use F from pure/mixed SCNN-Crossbar-8b row at same N)
SCNN,6,3,23.6233,1.1002,F not captured (FPGA RTL is deterministic; use F from pure/mixed SCNN-Crossbar-8b row at same N)
SCNN,7,3,23.5849,0.518,F not captured (FPGA RTL is deterministic; use F from pure/mixed SCNN-Crossbar-8b row at same N)
SCNN,8,3,25.388,0.8301,F not captured (FPGA RTL is deterministic; use F from pure/mixed SCNN-Crossbar-8b row at same N)
SVAE,3,3,9.6727,0.3058,F not captured (FPGA RTL is deterministic; use F from pure/mixed SCNN-Crossbar-8b row at same N)
SVAE,4,3,9.8183,0.25,F not captured (FPGA RTL is deterministic; use F from pure/mixed SCNN-Crossbar-8b row at same N)
SVAE,5,3,9.6895,0.277,F not captured (FPGA RTL is deterministic; use F from pure/mixed SCNN-Crossbar-8b row at same N)
SVAE,6,3,9.8553,0.2345,F not captured (FPGA RTL is deterministic; use F from pure/mixed SCNN-Crossbar-8b row at same N)
SVAE,7,3,10.3619,0.3181,F not captured (FPGA RTL is deterministic; use F from pure/mixed SCNN-Crossbar-8b row at same N)
SVAE,8,3,12.2696,0.2996,F not captured (FPGA RTL is deterministic; use F from pure/mixed SCNN-Crossbar-8b row at same N)
