state_type,architecture,N,method,F,E_inf_uJ_crossbar8b,E_inf_uJ_ns_regime,E_inf_uJ_paper_10us,pdneuram_overhead,regime_ratio
mixed,SCGAN,3,M1,0.7812,4.5618,13.0117,171.7273,2.8523,13.1979
mixed,SCGAN,3,M2,0.8007,4.5616,13.0115,171.6661,2.8524,13.1934
mixed,SCGAN,4,M1,0.7311,4.5634,13.0133,172.1063,2.8517,13.2254
mixed,SCGAN,4,M2,0.8334,4.5618,13.0117,171.7293,2.8523,13.198
mixed,SCGAN,5,M1,0.588,17.778,50.8021,651.2615,2.8576,12.8196
mixed,SCGAN,5,M2,0.8139,17.7769,50.801,650.2539,2.8577,12.8
mixed,SCGAN,6,M1,0.6792,70.1914,200.775,2532.4699,2.8604,12.6135
mixed,SCGAN,6,M2,0.8198,70.1914,200.775,2532.4699,2.8604,12.6135
mixed,SCGAN,7,M1,0.672,278.9546,798.302,9986.4949,2.8618,12.5097
mixed,SCGAN,7,M2,0.7431,278.96,798.3072,10018.7092,2.8617,12.5499
mixed,SCGAN,8,M1,0.5877,1112.2271,3183.6809,39660.9775,2.8624,12.4576
mixed,SCGAN,8,M2,0.8019,1112.2735,3183.7257,40047.5307,2.8624,12.5788
mixed,SCNN,3,M1,0.8079,0.9929,2.8769,34.6908,2.8975,12.0583
mixed,SCNN,3,M2,0.8914,0.9923,2.8766,34.142,2.8989,11.8688
mixed,SCNN,4,M1,0.8051,1.813,5.2534,68.1302,2.8976,12.9689
mixed,SCNN,4,M2,0.8484,1.8102,5.2512,62.1203,2.901,11.8297
mixed,SCNN,5,M1,0.8228,3.0352,8.8101,108.331,2.9027,12.2962
mixed,SCNN,5,M2,0.8117,3.0319,8.8085,102.0385,2.9053,11.5842
mixed,SCNN,6,M1,0.8307,5.2257,15.2193,163.6828,2.9124,10.7549
mixed,SCNN,6,M2,0.8099,5.2218,15.2193,163.6828,2.9146,10.7549
mixed,SCNN,7,M1,0.8248,10.642,31.1621,254.4864,2.9282,8.1665
mixed,SCNN,7,M2,0.7686,10.6375,31.1666,279.151,2.9299,8.9567
mixed,SCNN,8,M1,0.815,28.3142,83.3629,461.819,2.9442,5.5399
mixed,SCNN,8,M2,0.6931,28.3089,83.3787,558.4619,2.9453,6.6979
mixed,SVAE,3,M1,0.9998,0.0631,0.1824,0.8548,2.8912,4.6854
