state_type,architecture,hardware,n_seeds,F_mean,F_std,F_sem,E_inf_uJ
bures_mixed,SCGAN,Crossbar-4b,2,0.6781,0.0081,0.0058,3.0404
bures_mixed,SCGAN,Crossbar-8b,2,0.6759,0.0061,0.0043,11.4038
bures_mixed,SCGAN,GPU,2,0.7295,0.0038,0.0027,365.4318
bures_mixed,SCGAN,Loihi,2,0.6723,0.0057,0.004,3.712
bures_mixed,SCGAN,PdNeuRAM,2,0.6759,0.0061,0.0043,7.3741
bures_mixed,SCNN,Crossbar-4b,2,0.5633,0.0055,0.0039,0.2647
bures_mixed,SCNN,Crossbar-8b,2,0.5761,0.0283,0.02,0.9925
bures_mixed,SCNN,GPU,2,0.7363,0.0126,0.0089,80.0894
bures_mixed,SCNN,Loihi,2,0.5912,0.001,0.0007,0.3131
bures_mixed,SCNN,PdNeuRAM,2,0.5761,0.0283,0.02,0.6333
bures_mixed,SVAE,Crossbar-4b,2,0.6399,0.0051,0.0036,0.0166
bures_mixed,SVAE,Crossbar-8b,2,0.6397,0.0117,0.0083,0.0628
bures_mixed,SVAE,GPU,2,0.7455,0.0014,0.001,2.9453
bures_mixed,SVAE,Loihi,2,0.6343,0.006,0.0042,0.0128
bures_mixed,SVAE,PdNeuRAM,2,0.6397,0.0117,0.0083,0.0404
haar_pure,SCGAN,Crossbar-4b,2,0.3901,0.0024,0.0017,3.0404
haar_pure,SCGAN,Crossbar-8b,2,0.4306,0.0025,0.0018,11.4038
haar_pure,SCGAN,GPU,2,0.6242,0.0012,0.0009,365.4318
haar_pure,SCGAN,Loihi,2,0.4374,0.0056,0.004,3.712
haar_pure,SCGAN,PdNeuRAM,2,0.4306,0.0025,0.0018,7.3741
haar_pure,SCNN,Crossbar-4b,2,0.2457,0.0009,0.0006,0.2647
haar_pure,SCNN,Crossbar-8b,2,0.2575,0.001,0.0007,0.9925
haar_pure,SCNN,GPU,2,0.6709,0.0023,0.0016,80.0894
haar_pure,SCNN,Loihi,2,0.2604,0.0062,0.0044,0.3131
haar_pure,SCNN,PdNeuRAM,2,0.2575,0.001,0.0007,0.6333
haar_pure,SVAE,Crossbar-4b,2,0.3647,0.0008,0.0006,0.0166
haar_pure,SVAE,Crossbar-8b,2,0.3704,0.0001,0.0,0.0628
haar_pure,SVAE,GPU,2,0.6298,0.0026,0.0019,2.9453
haar_pure,SVAE,Loihi,2,0.3692,0.0013,0.0009,0.0128
haar_pure,SVAE,PdNeuRAM,2,0.3704,0.0001,0.0,0.0404
