state_type,architecture,hardware,M,n_seeds,F_k1_mean,F_k1_std,F_k10_mean,F_k10_std,F_train_mean,F_train_std,E_inf_uJ
bures_mixed,SCGAN,Crossbar-4b,12,3,0.5701,0.0124,0.5804,0.0114,0.5746,0.0112,3.0403
bures_mixed,SCGAN,Crossbar-8b,12,3,0.5731,0.0072,0.5828,0.0069,0.5724,0.0066,11.4035
bures_mixed,SCGAN,GPU,12,3,0.6265,0.0022,0.6265,0.0022,0.6265,0.0022,365.2241
bures_mixed,SCGAN,Loihi,12,3,0.5727,0.0019,0.5825,0.0019,0.5732,0.0067,3.7118
bures_mixed,SCGAN,PdNeuRAM,12,3,0.5731,0.0072,0.5828,0.0069,0.5724,0.0066,7.3738
bures_mixed,SCGAN,Crossbar-4b,24,3,0.6641,0.0094,0.6757,0.0087,0.6617,0.0101,3.0404
bures_mixed,SCGAN,Crossbar-8b,24,3,0.6679,0.0128,0.6807,0.0116,0.6669,0.0134,11.4038
bures_mixed,SCGAN,GPU,24,3,0.7296,0.0024,0.7296,0.0024,0.7296,0.0024,365.4318
bures_mixed,SCGAN,Loihi,24,3,0.6677,0.0126,0.6799,0.0123,0.6658,0.0135,3.712
bures_mixed,SCGAN,PdNeuRAM,24,3,0.6679,0.0128,0.6807,0.0116,0.6669,0.0134,7.3741
bures_mixed,SCGAN,Crossbar-4b,48,3,0.7688,0.005,0.7803,0.0049,0.7683,0.0043,3.0405
bures_mixed,SCGAN,Crossbar-8b,48,3,0.7939,0.0021,0.8077,0.0018,0.7928,0.0032,11.4043
bures_mixed,SCGAN,GPU,48,3,0.8504,0.0025,0.8504,0.0025,0.8504,0.0025,365.8473
bures_mixed,SCGAN,Loihi,48,3,0.7882,0.0054,0.8024,0.0044,0.7874,0.0077,3.7125
bures_mixed,SCGAN,PdNeuRAM,48,3,0.7939,0.0021,0.8077,0.0018,0.7928,0.0032,7.3746
bures_mixed,SCGAN,Crossbar-4b,63,3,0.8074,0.0017,0.8198,0.0023,0.8073,0.0028,3.0406
