sweep,model,hardware,N,method,sweep_axis,sweep_value,n_seeds,F_mean,F_std,F_sem,E_inf_uJ_mean,E_inf_uJ_std
capacity,CNN,GPU,5,M1,label,D1,3,0.8512,0.0022,0.0013,189.2705,0.0
capacity,CNN,GPU,5,M1,label,D3,3,0.8614,0.0058,0.0034,454.7354,0.0
capacity,CNN,GPU,5,M1,label,D4,3,0.8564,0.0032,0.0019,587.4679,0.0
capacity,CNN,GPU,5,M1,label,L,3,0.8514,0.0038,0.0022,322.003,0.0
capacity,CNN,GPU,5,M1,label,M,3,0.8597,0.0025,0.0014,111.2316,0.0
capacity,CNN,GPU,5,M1,label,S,3,0.8626,0.0013,0.0007,43.1734,0.0
capacity,CNN,GPU,5,M1,label,XL,3,0.8476,0.002,0.0011,1042.1648,0.0
capacity,CNN,GPU,5,M1,label,XS,3,0.8642,0.0043,0.0025,18.4761,0.0
capacity,CNN,GPU,5,M1,label,XXL,3,0.8498,0.0016,0.0009,3676.965,0.0
capacity,CNN,GPU,5,M2,label,D1,3,0.7528,0.0413,0.0239,638.0841,0.0
capacity,CNN,GPU,5,M2,label,D3,3,0.7546,0.0191,0.011,903.549,0.0
capacity,CNN,GPU,5,M2,label,D4,3,0.7579,0.005,0.0029,1036.2815,0.0
capacity,CNN,GPU,5,M2,label,L,3,0.7463,0.0225,0.013,770.8166,0.0
capacity,CNN,GPU,5,M2,label,M,3,0.7406,0.0348,0.0201,335.6384,0.0
capacity,CNN,GPU,5,M2,label,S,3,0.7523,0.0382,0.0221,155.3768,0.0
capacity,CNN,GPU,5,M2,label,XL,3,0.7377,0.0299,0.0173,1939.792,0.0
capacity,CNN,GPU,5,M2,label,XS,3,0.7308,0.0177,0.0102,74.5778,0.0
capacity,CNN,GPU,5,M2,label,XXL,3,0.7561,0.0406,0.0234,5472.2194,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M1,label,D1,3,0.7546,0.0156,0.009,0.2316,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M1,label,D3,3,0.7618,0.0177,0.0102,0.2375,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M1,label,D4,3,0.7496,0.0252,0.0145,0.2405,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M1,label,L,3,0.7464,0.0042,0.0024,0.2346,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M1,label,M,3,0.7698,0.0141,0.0081,0.1618,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M1,label,S,3,0.7973,0.0085,0.0049,0.1254,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M1,label,XL,3,0.7792,0.0038,0.0022,0.3804,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M1,label,XS,3,0.8103,0.0042,0.0024,0.1072,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M1,label,XXL,3,0.7758,0.0204,0.0118,0.6725,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M2,label,D1,3,0.8027,0.0351,0.0203,0.239,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M2,label,D3,3,0.8199,0.0138,0.008,0.2449,0.0
