sweep,model,hardware,N,method,sweep_axis,sweep_value,n_seeds,F_mean,F_std,F_sem,E_inf_uJ_mean,E_inf_uJ_std
capacity,CNN,GPU,5,M1,label,D1,3,0.9992,0.0,0.0,89.2937,0.0
capacity,CNN,GPU,5,M1,label,D3,3,0.9992,0.0,0.0,354.7586,0.0
capacity,CNN,GPU,5,M1,label,D4,3,0.9992,0.0,0.0,487.4911,0.0
capacity,CNN,GPU,5,M1,label,L,3,0.9992,0.0,0.0,222.0262,0.0
capacity,CNN,GPU,5,M1,label,M,3,0.9991,0.0,0.0,61.2432,0.0
capacity,CNN,GPU,5,M1,label,S,3,0.9991,0.0,0.0,18.1792,0.0
capacity,CNN,GPU,5,M1,label,XL,3,0.9993,0.0,0.0,842.2112,0.0
capacity,CNN,GPU,5,M1,label,XS,3,0.9989,0.0,0.0,5.979,0.0
capacity,CNN,GPU,5,M1,label,XXL,3,0.9993,0.0,0.0,3277.0578,0.0
capacity,CNN,GPU,5,M2,label,D1,3,0.9952,0.0007,0.0004,111.7993,0.0
capacity,CNN,GPU,5,M2,label,D3,3,0.9953,0.0004,0.0002,377.2642,0.0
capacity,CNN,GPU,5,M2,label,D4,3,0.9947,0.0003,0.0002,509.9967,0.0
capacity,CNN,GPU,5,M2,label,L,3,0.9952,0.0002,0.0001,244.5318,0.0
capacity,CNN,GPU,5,M2,label,M,3,0.9942,0.0005,0.0003,72.496,0.0
capacity,CNN,GPU,5,M2,label,S,3,0.9931,0.0006,0.0003,23.8056,0.0
capacity,CNN,GPU,5,M2,label,XL,3,0.9953,0.0001,0.0,887.2224,0.0
capacity,CNN,GPU,5,M2,label,XS,3,0.9921,0.0002,0.0001,8.7922,0.0
capacity,CNN,GPU,5,M2,label,XXL,3,0.9958,0.0002,0.0001,3367.0802,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M1,label,D1,3,0.9985,0.0,0.0,0.23,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M1,label,D3,3,0.9981,0.0008,0.0005,0.2359,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M1,label,D4,3,0.9974,0.0009,0.0005,0.2389,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M1,label,L,3,0.9986,0.0009,0.0005,0.2329,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M1,label,M,3,0.9977,0.0008,0.0004,0.1607,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M1,label,S,3,0.9931,0.0031,0.0018,0.1246,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M1,label,XL,3,0.999,0.0005,0.0003,0.3776,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M1,label,XS,3,0.9966,0.0017,0.001,0.1065,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M1,label,XXL,3,0.9996,0.0001,0.0001,0.6674,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M2,label,D1,3,0.9968,0.0045,0.0026,0.2304,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M2,label,D3,3,0.9968,0.0016,0.0009,0.2363,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M2,label,D4,3,0.998,0.0017,0.001,0.2392,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M2,label,L,3,0.9985,0.0006,0.0004,0.2333,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M2,label,M,3,0.9981,0.0004,0.0002,0.1609,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M2,label,S,3,0.9911,0.0054,0.0031,0.1248,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M2,label,XL,3,0.9973,0.0006,0.0004,0.3782,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M2,label,XS,3,0.9887,0.0031,0.0018,0.1067,0.0
capacity,SCNN-Crossbar-4b,Crossbar-4b,5,M2,label,XXL,3,0.9985,0.0023,0.0013,0.6685,0.0
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M1,label,D1,3,0.9976,0.001,0.0006,0.8681,0.0
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M1,label,D3,3,0.9977,0.0006,0.0003,0.8901,0.0
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M1,label,D4,3,0.9975,0.0008,0.0004,0.9011,0.0
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M1,label,L,3,0.998,0.001,0.0006,0.8791,0.0
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M1,label,M,3,0.9946,0.0016,0.0009,0.6067,0.0
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M1,label,S,3,0.9942,0.0039,0.0023,0.4705,0.0
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M1,label,XL,3,0.998,0.0007,0.0004,1.424,0.0
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M1,label,XS,3,0.991,0.01,0.0058,0.4024,0.0
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M1,label,XXL,3,0.9992,0.0003,0.0002,2.5145,0.0
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M2,label,D1,3,0.9982,0.0016,0.0009,0.8688,0.0
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M2,label,D3,3,0.999,0.0003,0.0002,0.8908,0.0
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M2,label,D4,3,0.9977,0.0003,0.0002,0.9018,0.0
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M2,label,L,3,0.9992,0.0005,0.0003,0.8798,0.0
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M2,label,M,3,0.9954,0.0008,0.0005,0.6072,0.0
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M2,label,S,3,0.9948,0.0009,0.0005,0.471,0.0
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M2,label,XL,3,0.9977,0.0014,0.0008,1.425,0.0
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M2,label,XS,3,0.9851,0.0061,0.0035,0.4029,0.0
capacity,SCNN-Crossbar-8b,Crossbar-8b,5,M2,label,XXL,3,0.9991,0.0008,0.0005,2.5159,0.0
capacity,SCNN-Loihi,Loihi,5,M1,label,D1,3,0.9941,0.0051,0.003,0.1762,0.0
capacity,SCNN-Loihi,Loihi,5,M1,label,D3,3,0.9946,0.001,0.0006,0.1849,0.0
capacity,SCNN-Loihi,Loihi,5,M1,label,D4,3,0.9912,0.0044,0.0025,0.1893,0.0
capacity,SCNN-Loihi,Loihi,5,M1,label,L,3,0.9957,0.0021,0.0012,0.1806,0.0
capacity,SCNN-Loihi,Loihi,5,M1,label,M,3,0.9946,0.0008,0.0005,0.121,0.0
capacity,SCNN-Loihi,Loihi,5,M1,label,S,3,0.9917,0.0021,0.0012,0.0919,0.0
capacity,SCNN-Loihi,Loihi,5,M1,label,XL,3,0.9983,0.0002,0.0001,0.3051,0.0
capacity,SCNN-Loihi,Loihi,5,M1,label,XS,3,0.9882,0.0115,0.0067,0.0775,0.0
capacity,SCNN-Loihi,Loihi,5,M1,label,XXL,3,0.9994,0.0003,0.0002,0.5756,0.0
capacity,SCNN-Loihi,Loihi,5,M2,label,D1,3,0.9929,0.0016,0.0009,0.187,0.0
capacity,SCNN-Loihi,Loihi,5,M2,label,D3,3,0.9939,0.0015,0.0008,0.1957,0.0
capacity,SCNN-Loihi,Loihi,5,M2,label,D4,3,0.992,0.0011,0.0006,0.2001,0.0
capacity,SCNN-Loihi,Loihi,5,M2,label,L,3,0.9926,0.0006,0.0004,0.1914,0.0
capacity,SCNN-Loihi,Loihi,5,M2,label,M,3,0.9905,0.0013,0.0007,0.1264,0.0
capacity,SCNN-Loihi,Loihi,5,M2,label,S,3,0.985,0.0076,0.0044,0.0946,0.0
capacity,SCNN-Loihi,Loihi,5,M2,label,XL,3,0.9959,0.0014,0.0008,0.3266,0.0
capacity,SCNN-Loihi,Loihi,5,M2,label,XS,3,0.9764,0.0052,0.003,0.0789,0.0
capacity,SCNN-Loihi,Loihi,5,M2,label,XXL,3,0.9969,0.0019,0.0011,0.6187,0.0
surrogate,SCNN-Crossbar-4b,Crossbar-4b,3,M1,surrogate,circ,3,0.9412,0.0081,0.0047,0.5293,0.0
surrogate,SCNN-Crossbar-4b,Crossbar-4b,3,M1,surrogate,super,3,0.9965,0.0033,0.0019,0.5293,0.0
surrogate,SCNN-Crossbar-4b,Crossbar-4b,3,M1,surrogate,tanh,3,0.9991,0.0016,0.0009,0.5293,0.0
surrogate,SCNN-Crossbar-4b,Crossbar-4b,3,M2,surrogate,circ,3,0.8457,0.1558,0.0899,0.5293,0.0
surrogate,SCNN-Crossbar-4b,Crossbar-4b,3,M2,surrogate,super,3,0.998,0.002,0.0012,0.5293,0.0
surrogate,SCNN-Crossbar-4b,Crossbar-4b,3,M2,surrogate,tanh,3,1.0,0.0,0.0,0.5293,0.0
surrogate,SCNN-Crossbar-4b,Crossbar-4b,5,M1,surrogate,circ,3,0.9051,0.0361,0.0209,1.6163,0.0
surrogate,SCNN-Crossbar-4b,Crossbar-4b,5,M1,surrogate,super,3,0.9977,0.0004,0.0003,1.6163,0.0
surrogate,SCNN-Crossbar-4b,Crossbar-4b,5,M1,surrogate,tanh,3,0.9977,0.004,0.0023,1.6163,0.0
surrogate,SCNN-Crossbar-4b,Crossbar-4b,5,M2,surrogate,circ,3,0.5739,0.3071,0.1773,1.617,0.0
surrogate,SCNN-Crossbar-4b,Crossbar-4b,5,M2,surrogate,super,3,0.9914,0.0019,0.0011,1.617,0.0
surrogate,SCNN-Crossbar-4b,Crossbar-4b,5,M2,surrogate,tanh,3,0.9625,0.0167,0.0096,1.617,0.0
surrogate,SCNN-Crossbar-4b,Crossbar-4b,8,M1,surrogate,circ,3,0.0866,0.044,0.0254,15.0346,0.0
surrogate,SCNN-Crossbar-4b,Crossbar-4b,8,M1,surrogate,super,3,0.9927,0.0044,0.0026,15.0346,0.0
surrogate,SCNN-Crossbar-4b,Crossbar-4b,8,M1,surrogate,tanh,3,0.9942,0.0007,0.0004,15.0346,0.0
